analysis_group,population,msebw_multiplier,threshold_year,end_date_years,kernel,polynomial,outcome
fixed_bw_aged78_81,aged78_81,,2013,,triangular,1,dementia_first_date_ever
fixed_bw_aged78_81,aged78_81,,2013,,triangular,1,neuralgia_first_date_ever
fixed_bw_aged78_81,aged78_81,,2013,,triangular,1,shingles_first_date_after
primary,general,1,2013,,triangular,1,date_of_death
primary,general,1,2013,,triangular,1,dementia_first_date_ever
primary,general,1,2013,,triangular,1,neuralgia_first_date_ever
primary,general,1,2013,,triangular,1,shingles_first_date_after
reduced_excl,reduced_excl,1,2010,,triangular,1,date_of_death
reduced_excl,reduced_excl,1,2013,,triangular,1,date_of_death
reduced_excl,reduced_excl,1,2016,,triangular,1,date_of_death
reduced_excl,reduced_excl,1,2010,,triangular,1,dementia_first_date_ever
reduced_excl,reduced_excl,1,2013,,triangular,1,dementia_first_date_ever
reduced_excl,reduced_excl,1,2016,,triangular,1,dementia_first_date_ever
reduced_excl,reduced_excl,1,2010,,triangular,1,neuralgia_first_date_ever
reduced_excl,reduced_excl,1,2013,,triangular,1,neuralgia_first_date_ever
reduced_excl,reduced_excl,1,2016,,triangular,1,neuralgia_first_date_ever
reduced_excl,reduced_excl,1,2010,,triangular,1,shingles_first_date_after
reduced_excl,reduced_excl,1,2013,,triangular,1,shingles_first_date_after
reduced_excl,reduced_excl,1,2016,,triangular,1,shingles_first_date_after
sub_cogimp_no,cogimp_no,1,2013,,triangular,1,date_of_death
sub_cogimp_no,cogimp_no,1,2013,,triangular,1,dementia_first_date_ever
sub_cogimp_no,cogimp_no,1,2013,,triangular,1,neuralgia_first_date_ever
sub_cogimp_no,cogimp_no,1,2013,,triangular,1,shingles_first_date_after
sub_cogimp_yes,cogimp_yes,1,2013,,triangular,1,date_of_death
sub_cogimp_yes,cogimp_yes,1,2013,,triangular,1,dementia_first_date_ever
sub_cogimp_yes,cogimp_yes,1,2013,,triangular,1,neuralgia_first_date_ever
sub_cogimp_yes,cogimp_yes,1,2013,,triangular,1,shingles_first_date_after
sub_sex_men,men,1,2013,,triangular,1,date_of_death
sub_sex_men,men,1,2013,,triangular,1,dementia_first_date_ever
sub_sex_men,men,1,2013,,triangular,1,neuralgia_first_date_ever
sub_sex_men,men,1,2013,,triangular,1,shingles_first_date_after
sub_sex_women,women,1,2013,,triangular,1,date_of_death
sub_sex_women,women,1,2013,,triangular,1,dementia_first_date_ever
sub_sex_women,women,1,2013,,triangular,1,neuralgia_first_date_ever
sub_sex_women,women,1,2013,,triangular,1,shingles_first_date_after
thresholdm_no,thresholdm_no,1,2013,,triangular,1,date_of_death
thresholdm_no,thresholdm_no,1,2013,,triangular,1,dementia_first_date_ever
thresholdm_no,thresholdm_no,1,2013,,triangular,1,neuralgia_first_date_ever
thresholdm_no,thresholdm_no,1,2013,,triangular,1,shingles_first_date_after
