code,term
1144907001,Late acute graft-versus-host disease
1144908006,Late chronic graft-versus-host disease
1144963000,Acute on chronic graft-versus-host disease
1177120001,Bronchiolitis obliterans syndrome following allogeneic stem cell transplant
1197726006,Noninfectious colitis due to graft-versus-host disease
121131000119109,Chronic graft versus host disease after transplantation of bone marrow
1268379007,Graft versus host disease of intestine
128641000119100,Acute graft-versus-host disease following transplant of kidney
128651000119103,Graft-versus-host disease following transplant of kidney
166951000000109,Acute graft-versus-host disease
166981000000103,Chronic graft-versus-host disease
176641000000107,Acute graft-versus-host disease
176651000000105,Chronic graft-versus-host disease
234646005,Graft-versus-host disease
402355000,Acute graft-versus-host disease
402356004,Chronic graft-versus-host disease
402357008,Lichenoid chronic graft-versus-host disease
402358003,Sclerodermoid chronic graft-versus-host disease
402359006,Toxic epidermal necrolysis due to graft-versus-host disease
402360001,Materno-fetal graft-versus-host disease
402361002,Nail dystrophy due to graft-versus-host disease
402362009,Oral mucosal disease due to graft-versus-host disease
416485002,Keratoconjunctivitis sicca due to graft-versus-host disease
444547006,Graft versus host disease of skin
47650006,Graft versus host reaction
73358004,Graft reaction
75744002,Graft versus host disease
762618008,Bronchiolitis obliterans syndrome due to and after lung transplantation
846606007,Graft versus host disease of liver
870351002,Noninfective inflammation of intestine due to graft-versus-host disease
871633002,Ulcer of intestine due to graft-versus-host disease
