code,term
108631000119101,History of autologous bone marrow transplant
19944001,Autologous bone marrow transplant without purging
284671000000102,Autologous peripheral blood stem cell transplant
291281000000102,Autologous peripheral blood stem cell transplant
425983008,Autologous peripheral blood stem cell transplant
46280001,Autologous bone marrow transplant with purging
58776007,Autologous bone marrow transplant
709115004,Transplantation of autologous hematopoietic stem cell
711429001,Transplantation of autologous progenitor cell
