code,term
1010620002,Infection of lung caused by Mycobacterium malmoense
1010622005,Infection of lung caused by Mycobacterium xenopi
1010634002,Pneumonia caused by Acinetobacter
1010662009,Infection of lung caused by Mycobacterium kansasii
102453009,Peritonsillar cellulitis
1033051000000101,Influenza due to zoonotic influenza virus
1033071000000105,Influenza due to pandemic influenza virus
1033091000000109,Influenza due to seasonal influenza virus
1033111000000104,Influenza with pneumonia due to seasonal influenza virus
10345003,Primary syphilis of tonsils
10351008,Suppurative tonsillitis
103781000119103,Allergic bronchopulmonary mycosis
104041000119108,Fungal sinusitis
10446001,Aspergilloma
10509002,Acute bronchitis
106001000119101,Chronic obstructive pulmonary disease with acute bronchitis
10624911000119107,Otitis media caused by Influenza A virus subtype H1N1
10624951000119108,Otitis media caused by influenza virus
10624991000119103,Bronchopneumonia caused by Achromobacter
10625031000119102,Bronchopneumonia caused by anaerobic bacteria
10625071000119104,Bronchopneumonia caused by bacteria
10625111000119106,Bronchopneumonia caused by Escherichia coli
10625151000119107,Bronchopneumonia caused by Group A Streptococcus
10625191000119102,Bronchopneumonia caused by Group B Streptococcus
10625231000119106,Bronchopneumonia caused by Haemophilus influenzae
10625271000119109,Bronchopneumonia caused by Human metapneumovirus
10625311000119109,Bronchopneumonia caused by Klebsiella pneumoniae
10625351000119105,Bronchopneumonia caused by methicillin resistant Staphylococcus aureus
10625391000119100,Bronchopneumonia caused by methicillin susceptible Staphylococcus aureus
10625431000119105,Bronchopneumonia caused by Mycoplasma pneumoniae
10625471000119108,Bronchopneumonia caused by Proteus mirabilis
10625511000119104,Bronchopneumonia caused by Pseudomonas
10625551000119103,Bronchopneumonia caused by respiratory syncytial virus
10625591000119108,Bronchopneumonia caused by Staphylococcus
10625631000119108,Bronchopneumonia caused by Staphylococcus aureus
10625671000119106,Bronchopneumonia caused by Streptococcus
10625711000119105,Bronchopneumonia caused by Streptococcus pneumoniae
10625751000119106,Bronchopneumonia due to virus
10628871000119101,Gastroenteritis caused by influenza virus
10628911000119103,Gastroenteritis caused by Influenza A virus
10629191000119100,Bronchiolitis caused by influenza virus
10629231000119109,Recurrent acute streptococcal tonsillitis
10629351000119108,Myocarditis caused by Influenza A virus
10674911000119108,Otitis media caused by Influenza A virus
10685111000119102,Upper respiratory tract infection caused by influenza virus
10809006,Parainfluenza virus laryngotracheitis
1082561000119104,Recurrent acute suppurative otitis media with spontaneous rupture of ear drum
1082721000119101,Pneumonia caused by Ascaris
1083421000119103,Chronic serosanguineous otitis media of bilateral middle ears
1087061000119106,Gonococcal pneumonia
1088901000119105,Hemorrhagic otitis externa of left external auditory canal
1090001000119105,Otitis media due to scarlet fever
1090211000119102,Pharyngeal diphtheria
1091511000119109,Hemorrhagic otitis externa of right external auditory canal
1092361000119109,Rubella pneumonia
1092951000119106,Pneumonia caused by Bordetella parapertussis
109362006,Cellulitis of parapharyngeal space
109802000,Abscess of uvula of palate
111274000,Acute abscess of nasal sinus
111275004,Abscess of nasal septum
11134001,Acute suppuration of sphenoidal sinus
111816002,Pneumococcal tonsillitis
111849006,Adenoviral bronchitis
111856000,Herpes simplex otitis externa
111898002,Chronic mycotic otitis externa
111900000,Pneumonia in aspergillosis
11389007,Inhalational anthrax
11461005,Staphylococcal tonsillitis
1187256004,Viral pneumonia due to infectious mononucleosis caused by human herpesvirus 4
120639003,Hantavirus pulmonary syndrome
123587001,Acute bronchopneumonia
123588006,Confluent bronchopneumonia with abscess formation
123589003,Necrotizing bronchopneumonia
1240521000000100,Otitis media due to disease caused by severe acute respiratory syndrome coronavirus 2
1240541000000107,Infection of upper respiratory tract caused by severe acute respiratory syndrome coronavirus 2
1240551000000105,Pneumonia caused by severe acute respiratory syndrome coronavirus 2
124691000119101,Pneumonia caused by methicillin resistant Staphylococcus aureus
12571000132104,Pneumonia caused by reactivation of Varicellovirus humanalpha3
126664009,Exudative pharyngitis
128601007,Infectious disease of lung
128711000119106,Pneumonia caused by methicillin susceptible Staphylococcus aureus
128940004,Parasitic infection of lung
13089009,Adenoviral bronchiolitis
