code,term
154327006,Post-herpetic neuralgia
17974002,Post-herpetic trigeminal neuralgia
186516001,(Herpes zoster with other CNS complication) or (postherpetic neuralgia)
186519008,Post-herpetic trigeminal neuralgia
186520002,Post-herpetic polyneuropathy
186522005,Post-herpetic neuralgia
193190005,Polyneuropathy in herpes zoster
2177002,Postherpetic neuralgia
230597003,Intercostal post-herpetic neuralgia
282741006,Post-herpetic neuritis
282742004,Intercostal post-herpetic neuritis
76462000,Post-herpetic polyneuropathy
