code,term
103412005,Human immunodeficiency virus Centers for Disease Control and Prevention category C1 (acquired immunodeficiency syndrome)
103413000,Human immunodeficiency virus Centers for Disease Control and Prevention category C2 (acquired immunodeficiency syndrome)
103414006,Human immunodeficiency virus Centers for Disease Control and Prevention category C3 (acquired immunodeficiency syndrome)
103418009,Human immunodeficiency virus World Health Organization class IV (acquired immunodeficiency syndrome)
10479001,AIDS with other disorder involving the immune mechanism
10746341000119109,Acquired immune deficiency syndrome complicating childbirth
111881002,AIDS with disseminated candidiasis
111882009,AIDS with disseminated candidiasis of other and unspecified sites
111883004,AIDS with other and unspecified mycobacteriosis
111884005,AIDS with mycobacteriosis
111885006,AIDS with pneumonia
111886007,AIDS with or without other conditions
111887003,AIDS with specified diseases of the central nervous system
111888008,AIDS with other specified conditions
11303005,AIDS with organic brain syndrome
1170003,AIDS with hyperhidrosis
12019006,AIDS with rash
1260096003,Wasting syndrome due to acquired immunodeficiency syndrome
12741002,AIDS with dementia
13452004,AIDS with subacute myocarditis
13556003,AIDS with hepatomegaly
1362002,AIDS with neuralgia
14249000,AIDS with candidiasis of mouth
15118008,AIDS with reticulosarcoma
15427004,"AIDS with specified infection, NEC"
154368002,Acquired immune deficiency syndrome (& [ARC])
157000,AIDS with low vision
15884001,AIDS with cryptococcosis
16437002,AIDS with tuberculosis
16810008,Acquired immunodeficiency syndrome (AIDS) with viral pneumonia
186705005,(AIDS) or (HIV infection)
186715004,Acquired human immunodeficiency virus infection syndrome NOS
186720004,HIV disease resulting in Pneumocystis carinii pneumonia
186727001,Human immunodeficiency virus infection wasting syndrome
192178000,Acquired immune deficiency syndrome dementia complex
19423005,AIDS with coccidiosis
22892000,AIDS with intestinal malabsorption
234644008,Acquired immune deficiency syndrome
23488005,AIDS with progressive multifocal leukoencephalopathy
236406007,Acquired immune deficiency syndrome-related nephropathy
240611008,Acquired immune deficiency syndrome-related complex
2555007,AIDS with nutritional deficiency
26118004,AIDS with acute endocarditis
266201009,Acquired immune deficiency syndrome (& [ARC])
276665006,Congenital acquired immune deficiency syndrome
28077005,AIDS with neuritis
286880007,Acquired immunodeficiency syndrome (AIDS) with viral/chlamydial disease NOS
29099009,AIDS with central nervous system disorder
313113003,AIDS with subacute adenoviral encephalitis
3211006,AIDS with hematopoietic system disease
33745006,AIDS with pneumocystosis
34952005,AIDS with radiculitis
35372003,AIDS with anemia
359775003,AIDS with isosporiasis
359778001,AIDS with coccidiosis
359791000,Acquired immunodeficiency syndrome with dermatomycosis
37721008,AIDS with pneumococcal pneumonia
39047000,AIDS with septicemia
39363001,AIDS with myelopathy
398173000,AIDS with encephalitis
416729007,Neutropenia with acquired immunodeficiency syndrome
420244003,Encephalitis with acquired immunodeficiency syndrome
42028002,AIDS with failure to thrive syndrome (in infant)
420281004,Skin rash with acquired immunodeficiency syndrome
