code,term
106511000119106,Long-term current use of mycophenolate
106521000119104,Long-term current use of cyclophosphamide
106531000119101,Long-term current use of penicillamine
106551000119107,Long-term current use of medicinal gold
106571000119103,Long-term current use of sulfasalazine
106581000119100,Long-term current use of cyclosporine
106701000119103,Long-term current use of leflunomide
1104901000000103,Hydroxychloroquine-induced retinal toxicity screening
1156666001,Auranofin therapy
1156667005,Penicillamine therapy
1179723002,Administration of tocilizumab
1179729003,Administration of sarilumab
1287737006,Sarilumab therapy
140301000119107,Long-term current use of hydroxychloroquine
140561000119102,Long-term current use of azathioprine
180229007,Intravenous injection of Methotrexate
180242007,Intramuscular gold therapy
180247001,Intramuscular injection of Methotrexate
25321000000106,Community disease modifying antirheumatic drug monitoring appointment
309699002,Intramuscular injection of methotrexate
309700001,Intravenous injection of methotrexate
311341000000107,Subcutaneous injection of methotrexate
337871000000109,Subcutaneous injection of methotrexate
36991000000102,Community DMARD monitoring appointment
37001000000108,Community DMARD monitoring appointment
402428008,Accelerated rheumatoid nodulosis caused by methotrexate
439824001,Subcutaneous injection of methotrexate
44671000000103,Disease modifying antirheumatic drug monitoring
518391000000109,Disease modifying antirheumatic drug therapy initiated
581000119100,Long term methotrexate user
61251000119108,Long-term current use of tacrolimus
672601000119103,Long-term current use of auranofin
713518008,Mycophenolate therapy
713550003,Cyclophosphamide therapy
713551004,Azathioprine therapy
715121000000104,Community disease modifying antirheumatic drug monitoring administration
717041000000104,Community disease modifying antirheumatic drug monitoring appointment
717837005,Leflunomide therapy
717856000,Sulfasalazine therapy
723945004,Cyclosporine therapy
724160005,Tacrolimus therapy
726605004,Medicinal gold therapy
782709005,Hydroxychloroquine therapy
803771000000101,Community disease modifying antirheumatic drug monitoring call
803821000000107,Community disease modifying antirheumatic drug monitoring first letter
803841000000100,Community disease modifying antirheumatic drug monitoring second letter
803861000000104,Community disease modifying antirheumatic drug monitoring third letter
804041000000107,Community disease modifying antirheumatic drug monitoring invitation
804131000000104,Community disease modifying antirheumatic drug monitoring verbal invitation
804141000000108,Community DMARD (disease modifying antirheumatic drug) monitoring verbal invitation 
804191000000103,Community disease modifying antirheumatic drug monitoring telephone invitation
910111000000106,Mixed strength methotrexate prescribing warning
910131000000103,Mixed strength methotrexate prescribing appropriate
910141000000107,Mixed strength methotrexate prescribing appropriate 
