code,term
1003679009,Human immunodeficiency virus Centers for Disease Control and Prevention dual infection with human immunodeficiency virus-1 and human immunodeficiency virus-2
1003680007,Human immunodeficiency virus Centers for Disease Control and Prevention undifferentiated type
1003681006,Human immunodeficiency virus Centers for Disease Control and Prevention stage 0
1003682004,Human immunodeficiency virus Centers for Disease Control and Prevention stage 1
1003683009,Human immunodeficiency virus Centers for Disease Control and Prevention stage 2
1003684003,Human immunodeficiency virus Centers for Disease Control and Prevention stage 3
1003685002,Human immunodeficiency virus Centers for Disease Control and Prevention stage unknown
103406000,Human immunodeficiency virus Centers for Disease Control and Prevention category A1
103407009,Human immunodeficiency virus Centers for Disease Control and Prevention category A2
103408004,Human immunodeficiency virus Centers for Disease Control and Prevention category A3 (acquired immunodeficiency syndrome)
103409007,Human immunodeficiency virus Centers for Disease Control and Prevention category B1
103410002,Human immunodeficiency virus Centers for Disease Control and Prevention category B2
103411003,Human immunodeficiency virus Centers for Disease Control and Prevention category B3 (acquired immunodeficiency syndrome)
103415007,Human immunodeficiency virus World Health Organization class I
103416008,Human immunodeficiency virus World Health Organization class II
103417004,Human immunodeficiency virus World Health Organization class III
1052325005,Exacerbation of psoriasis due to human immunodeficiency virus infection
1053901000000104,Extrapulmonary tuberculosis co-occurrent with human immunodeficiency virus infection
1054001000000101,Invasive carcinoma of uterine cervix co-occurrent with human immunodeficiency virus infection
10755671000119100,Human immunodeficiency virus in mother complicating childbirth
111880001,Acute human immunodeficiency virus infection
1142045004,Primary human immunodeficiency virus infection
1142046003,Pityriasis rubra pilaris due to human immunodeficiency virus infection
1142049005,Parasitic disease due to human immunodeficiency virus infection
1142055000,Human immunodeficiency virus modified skin disease
1148863007,Disorder of skin due to human immunodeficiency virus infection
1153348007,Primary effusion lymphoma due to human immune deficiency virus infection
1187000005,Infectious mononucleosis caused by human immunodeficiency virus
1187001009,Infectious mononucleosis caused by human immunodeficiency virus type I
1187156006,Periodontitis exacerbated by human immunodeficiency virus infection
1193751008,Inflammation of small intestine due to human immunodeficiency virus disease
1193752001,Inflammation of intestine due to human immunodeficiency virus disease
1259057001,Disorder of autonomic nervous system due to human immunodeficiency virus infection
1263535005,Motor neuron disease due to human immunodeficiency virus infection
1284934003,Human immunodeficiency virus management program
129261000119106,Lipoatrophy due to Human immunodeficiency virus infection and treatment
143224002,HIV positive
15928141000119107,Cognitive impairment co-occurrent and due to human immunodeficiency virus infection
165816005,Human immunodeficiency virus detected
179235008,HIV infection with acute lymphadenitis
186706006,Human immunodeficiency virus infection constitutional disease
186707002,Human immunodeficiency virus infection with neurological disease
186708007,Human immunodeficiency virus infection with secondary clinical infectious disease
186709004,Human immunodeficiency virus with secondary cancers
186710009,"[X]Hiv disease resulting in haematological and immunological abnormalities, not elsewhere classified"
186711008,[X]HIV disease resulting in multiple diseases classified elsewhere
186712001,[X]HIV disease resulting in unspecified malignant neoplasm
186713006,[X]Hiv disease resulting in unspecified infectious and parasitic disease
186714000,Human immunodeficiency virus with other clinical findings
186716003,Human immunodef virus resulting in other disease
186717007,Human immunodeficiency virus disease resulting in mycobacterial infection
186718002,Human immunodeficiency virus disease resulting in cytomegaloviral disease
186719005,Human immunodeficiency virus disease resulting in candidiasis
186721000,Human immunodeficiency virus disease resulting in multiple infections
186722007,HIV disease resulting in Kaposi's sarcoma
186723002,Human immunodeficiency virus disease resulting in Burkitt's lymphoma
186724008,Human immunodeficiency virus (HIV) disease resulting in other types of non-Hodgkin's lymphoma
186725009,Human immunodeficiency virus disease resulting in multiple malignant neoplasms
186726005,Human immunodeficiency virus disease resulting in lymphoid interstitial pneumonitis
186728006,"[X]Hiv disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
187438009,[X]Human immunodeficiency virus disease
187439001,[X]HIV disease resulting in other bacterial infections
187441000,[X]HIV disease resulting in other viral infections
187442007,[X]HIV disease resulting in other mycoses
187443002,HIV disease resulting in multiple infections
187444008,[X]Hiv disease resulting in other infectious and parasitic diseases
187445009,[X]Hiv disease resulting in unspecified infectious and parasitic disease
187446005,[X]HIV disease resulting in other non-Hodgkin's lymphoma
187447001,"[X]Hiv disease resulting in other malignant neoplasms of lymphoid, hematopoietic and related tissue"
187448006,[X]HIV disease resulting in other malignant neoplasms
187449003,[X]HIV disease resulting in unspecified malignant neoplasm
187450003,[X]HIV disease resulting in multiple diseases classified elsewhere
187451004,"[X]Hiv disease resulting in hematological and immunological abnormalities, not elsewhere classified"
187452006,[X]HIV disease resulting in other specified conditions
187453001,[X]Unspecified human immunodeficiency virus [HIV] disease
207297000,[D]Laboratory evidence of human immunodefiency virus [HIV]
230180003,Human immunodeficiency virus leukoencephalopathy
230201009,Human immunodeficiency virus myelitis
230598008,Neuropathy caused by human immunodeficiency virus
235009000,Human immunodeficiency virus-associated periodontitis
235726002,Human immunodeficiency virus enteropathy
240103002,Human immunodeficiency virus myopathy
240612001,Human immunodeficiency virus neuropathy
276666007,Congenital human immunodeficiency virus positive status syndrome
281388009,Human immunodeficiency virus-related sclerosing cholangitis
281390005,Human immunodeficiency virus-related gut disease - cause unknown
315019000,Aseptic meningitis due to human immunodeficiency virus infection
397763006,Human immunodeficiency virus encephalopathy
398329009,Human immunodeficiency virus encephalitis
400401000000101,[X]Hiv disease resulting in unspecified infectious and parasitic disease
401191000000107,"[X] HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
401941000000104,"[X]HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
402901009,Oral hairy leukoplakia associated with human immunodeficiency virus disease
402915006,Human immunodeficiency virus seroconversion exanthem
402916007,Human immunodeficiency virus seropositivity
405631006,Pediatric human immunodeficiency virus infection
406109008,Human immunodeficiency virus detected by enzyme-linked immunosorbent assay
40780007,Human immunodeficiency virus I infection
411831000000102,[X]HIV disease resulting in other bacterial infections
413311000000103,[X]HIV disease resulting in unspecified malignant neoplasm
413321000000109,[X]HIV disease resulting in multiple diseases classified elsewhere
413621000000104,[X]HIV disease resulting in other mycoses
414376003,Hairy leukoplakia of tongue associated with human immunodeficiency virus disease
414604009,Leukoplakia of tongue associated with human immunodeficiency virus disease
414701000000104,"[X]Hiv disease resulting in haematological and immunological abnormalities, not elsewhere classified"
416656004,Human immunodeficiency virus (HIV) contact
418661000000104,[X]Hiv disease resulting in other infectious and parasitic diseases
419441000000105,"[X]Hiv disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
427921000000108,[V]Asymptomatic human immunodeficiency virus infection status
428061000000103,[X]HIV disease resulting in other specified conditions
432411000000106,[X]HIV disease resulting in unspecified malignant neoplasm
439901000000106,[X]Unspecified human immunodeficiency virus [HIV] disease
441561000000104,[X]HIV disease resulting in other viral infections
442351000000104,[X]HIV disease resulting in other non-Hodgkin's lymphoma
442662004,Copies of human immunodeficiency virus ribonucleic acid above reference range
444811000000101,[X]HIV disease resulting in multiple diseases classified elsewhere
455571000000106,[X]HIV disease resulting in other malignant neoplasms
466811000000104,[X]Hiv disease resulting in unspecified infectious and parasitic disease
468931000000102,[X]Human immunodeficiency virus disease
48794007,Human immunodeficiency virus infection with infectious mononucleosis-like syndrome
499821000000104,[D]Laboratory evidence of human immunodeficiency virus [HIV]
52079000,Congenital human immunodeficiency virus infection
550891000000106,Human immunodeficiency virus resulting in other disease
5810003,Human immunodeficiency virus infection with infection caused by another virus
615541000000109,Human immunodeficiency virus (HIV) disease resulting in other types of non-Hodgkin's lymphoma
664701000000103,Human immunodeficiency virus with other clinical findings
697904001,Pulmonary arterial hypertension associated with human immunodeficiency virus infection
699433000,Human immunodeficiency virus carrier
705149003,Lipodystrophy due to Human immunodeficiency virus infection and antiretroviral therapy
713260006,Subacute adenoviral encephalitis co-occurrent with human immunodeficiency virus infection
713275003,Splenomegaly co-occurrent with human immunodeficiency virus infection
713278001,Neuralgia co-occurrent with human immunodeficiency virus infection
713297001,Candidiasis of esophagus co-occurrent with human immunodeficiency virus infection
713298006,Heart disease co-occurrent with human immunodeficiency virus infection
713299003,Disorder of eye proper co-occurrent with human immunodeficiency virus infection
713300006,Disorder of gastrointestinal tract co-occurrent with human immunodeficiency virus infection
713316008,Eruption of skin co-occurrent with human immunodeficiency virus infection
713318009,Myocarditis co-occurrent with human immunodeficiency virus infection
713320007,Radiculitis co-occurrent with human immunodeficiency virus infection
713325002,Primary cerebral lymphoma co-occurrent with human immunodeficiency virus infection
713339002,Infection caused by Strongyloides co-occurrent with human immunodeficiency virus infection
713340000,Disorder of skin co-occurrent with human immunodeficiency virus infection
713341001,Myelitis co-occurrent with human immunodeficiency virus infection
713342008,Infection caused by Salmonella co-occurrent with human immunodeficiency virus infection
713349004,Anemia co-occurrent with human immunodeficiency virus infection
713444005,Hemophagocytic syndrome with human immunodeficiency virus infection
713445006,Disseminated infection caused by Strongyloides co-occurrent with human immunodeficiency virus infection
713446007,Chronic infection caused by herpes simplex virus co-occurrent with human immunodeficiency virus infection
713483007,Reticulosarcoma co-occurrent with human immunodeficiency virus infection
713484001,Disorder of respiratory system co-occurrent with human immunodeficiency virus infection
713487008,Progressive multifocal leukoencephalopathy co-occurrent with human immunodeficiency virus infection
713488003,Presenile dementia co-occurrent with human immunodeficiency virus infection
713489006,Polyneuropathy co-occurrent with human immunodeficiency virus infection
713490002,Infection caused by Pneumocystis co-occurrent with human immunodeficiency virus infection
713491003,Organic brain syndrome co-occurrent with human immunodeficiency virus infection
713497004,Candidiasis of mouth co-occurrent with human immunodeficiency virus infection
713503007,Disorder of spinal cord co-occurrent with human immunodeficiency virus infection
713504001,Disorder of kidney co-occurrent with human immunodeficiency virus infection
713505000,Gastrointestinal malabsorption syndrome co-occurrent with human immunodeficiency virus infection
713506004,Neuritis co-occurrent with human immunodeficiency virus infection
713507008,Lymphadenopathy co-occurrent with human immunodeficiency virus infection
713508003,Aplastic anemia co-occurrent with human immunodeficiency virus infection
713510001,Enlargement of liver co-occurrent with human immunodeficiency virus infection
713511002,Acute endocarditis co-occurrent with human immunodeficiency virus infection
713523008,Cardiomyopathy co-occurrent with human immunodeficiency virus infection
713526000,Recurrent bacterial pneumonia co-occurrent with human immunodeficiency virus infection
713527009,Disorder of peripheral nervous system co-occurrent with human immunodeficiency virus infection
713530002,Agranulocytosis co-occurrent with human immunodeficiency virus infection
713531003,Visual impairment co-occurrent with human immunodeficiency virus infection
713532005,Infective arthritis co-occurrent with human immunodeficiency virus infection
713533000,Acquired hemolytic anemia co-occurrent with human immunodeficiency virus infection
713543002,Demyelinating disease of central nervous system co-occurrent with human immunodeficiency virus infection
713544008,Bacterial pneumonia co-occurrent with human immunodeficiency virus infection
713545009,Infection caused by Nocardia co-occurrent with human immunodeficiency virus infection
713546005,Isosporiasis co-occurrent with human immunodeficiency virus infection
713570009,Infectious gastroenteritis co-occurrent with human immunodeficiency virus infection
713571008,Disorder of central nervous system co-occurrent with human immunodeficiency virus infection
713572001,Malignant neoplastic disease co-occurrent with human immunodeficiency virus infection
713695001,Nephrotic syndrome co-occurrent with human immunodeficiency virus infection
713696000,Renal failure syndrome co-occurrent with human immunodeficiency virus infection
713718006,Diffuse non-Hodgkin immunoblastic lymphoma co-occurrent with human immunodeficiency virus infection
713722001,Infection caused by Cytomegalovirus co-occurrent with human immunodeficiency virus infection
713729005,Infection caused by Coccidia co-occurrent with human immunodeficiency virus infection
713730000,Infection caused by herpes simplex virus co-occurrent with human immunodeficiency virus infection
713731001,Pyrexia of unknown origin co-occurrent with human immunodeficiency virus infection
713732008,Infection caused by Aspergillus co-occurrent with human immunodeficiency virus infection
713733003,Infection caused by herpes zoster virus co-occurrent with human immunodeficiency virus infection
713734009,Infection caused by Dermatophyte co-occurrent with human immunodeficiency virus infection
713844000,Dementia co-occurrent with human immunodeficiency virus infection
713845004,Infection caused by Cryptosporidium co-occurrent with human immunodeficiency virus infection
713880000,Opportunistic mycosis co-occurrent with human immunodeficiency virus infection
713881001,Infection caused by Microsporidia co-occurrent with human immunodeficiency virus infection
713887002,Focal segmental glomerulosclerosis co-occurrent with human immunodeficiency virus infection
713897006,Burkitt lymphoma co-occurrent with human immunodeficiency virus infection
713964006,Multidermatomal infection caused by Herpes zoster co-occurrent with human immunodeficiency virus infection
713967004,Disseminated atypical infection caused by Mycobacterium co-occurrent with human immunodeficiency virus infection
714083007,Recurrent salmonella sepsis co-occurrent with human immunodeficiency virus infection
714464009,Immune reconstitution inflammatory syndrome caused by human immunodeficiency virus infection
719522009,Infection of upper respiratory tract caused by Candida co-occurrent with human immunodeficiency virus infection
719789000,Human immunodeficiency virus 2 antibody detected and Human immunodeficiency virus 1 antibody cross-reactivity
721166000,Human immunodeficiency virus complicating pregnancy childbirth and the puerperium
722557007,Parkinsonism due to human immunodeficiency virus infection
72621000119104,Human immunodeficiency virus (HIV) II infection category B1
72631000119101,Human immunodeficiency virus (HIV) II infection category B2
733834006,Invasive carcinoma of uterine cervix co-occurrent with human immunodeficiency virus infection
733835007,Extrapulmonary tuberculosis co-occurrent with human immunodeficiency virus infection
735521001,Human immunodeficiency virus World Health Organization 2007 stage 1 co-occurrent with tuberculosis
735522008,Human immunodeficiency virus World Health Organization 2007 stage 1 co-occurrent with malaria
735523003,Human immunodeficiency virus World Health Organization 2007 stage 2 co-occurrent with tuberculosis
735524009,Human immunodeficiency virus World Health Organization 2007 stage 2 co-occurrent with malaria
735525005,Human immunodeficiency virus World Health Organization 2007 stage 3 co-occurrent with tuberculosis
735526006,Human immunodeficiency virus World Health Organization 2007 stage 3 co-occurrent with malaria
735527002,Human immunodeficiency virus World Health Organization 2007 stage 4 co-occurrent with tuberculosis
735528007,Human immunodeficiency virus World Health Organization 2007 stage 4 co-occurrent with malaria
737378009,World Health Organization 2007 Human immunodeficiency virus infection clinical stage 1
737379001,World Health Organization 2007 Human immunodeficiency virus infection clinical stage 2
737380003,World Health Organization 2007 Human immunodeficiency virus infection clinical stage 3
737381004,World Health Organization 2007 Human immunodeficiency virus infection clinical stage 4
76981000119106,Human immunodeficiency virus (HIV) infection category B1
76991000119109,Human immunodeficiency virus (HIV) infection category B2
78466009,Positive serological AND/OR viral culture findings for human immunodeficiency virus
79019005,Human immunodeficiency virus II infection
80191000119101,Symptomatic human immunodeficiency virus I infection
81000119104,Symptomatic human immunodeficiency virus infection
838338001,Bacterial infection due to human immunodeficiency virus infection
838377003,Chronic hepatitis C co-occurrent with human immunodeficiency virus infection
840442003,Encephalitis caused by human immunodeficiency virus type 2
840498003,Encephalitis caused by human immunodeficiency virus type 1
860871003,Eosinophilic folliculitis due to human immunodeficiency virus infection
