code,term
102871000119101,Hypothyroidism due to thyroiditis
10718002,Juvenile myxedema
10753681000119101,Postpartum hypothyroidism
10809101000119109,Hypothyroidism in childbirth
111308000,Neurologic form of cretinism
111566002,Acquired hypothyroidism
1137378008,Hypothyroidism due to and following radiotherapy
1179376009,Myxedema coma due to subclinical hypothyroidism
1179381000,Acquired central hypothyroidism due to Sheehan syndrome
1179382007,Acquired central hypothyroidism due to disorder of pituitary gland
1179384008,Acquired central hypothyroidism caused by ionizing radiation
1179385009,Acquired central hypothyroidism caused by drug
1179392004,Acquired central hypothyroidism due to traumatic injury
1179394003,Congenital hypothyroidism due to thyroid peroxidase mutation
1179395002,Consumptive hypothyroidism caused by type 3 iodothyronine deiodinase
1179396001,Congenital hypothyroidism due to thyroid deiodinase mutation
1179397005,Congenital hypothyroidism due to symporter mutation
1179399008,Congenital hypothyroidism due to thyroglobulin mutation
1179400001,Congenital hypothyroidism due to dual oxidase maturation factor 2
1179401002,Congenital hypothyroidism due to peripheral resistance to thyroid hormone
1179404005,Congenital hypothyroidism due to congenital anomaly of thyroid gland
1230272009,Congenital hypothyroidism due to thyroid stimulating hormone receptor mutation
1260240000,Resistance to thyroid hormone due to mutation in thyroid hormone receptor alpha
1264402008,Hypothyroidism due to systemic sclerosis
1281843005,"Choanal atresia, athelia, hypothyroidism, delayed puberty, short stature syndrome"
14779006,Hypothyroidism following external radiotherapy
17885001,Iodotyrosine deiodination defect
18621008,Transient decreased production of T>4<
190268003,Congenital hypothyroidism
190277005,Hypothyroidism caused by ionizing radiation
190279008,Iodine hypothyroidism
190282003,Hypothyroidism resulting from para-aminosalicylic acid
190283008,Hypothyroidism resulting from phenylbutazone
190284002,Hypothyroidism caused by resorcinol
190304001,Dyshormonogenic goiter
190309006,Thyroid atrophy
206457007,Neonatal jaundice with congenital hypothyroidism
21263006,Myxedema coma
215677009,Congenital hypothyroidism with ectopic thyroid
216693007,Hypothyroid dwarfism
217710005,Congenital iodine deficiency syndrome
22558005,Iodide transport defect
23536000,Iodotyrosyl coupling defect
237515009,Congenital hypothyroidism without goiter
237516005,Congenital thyroid hypoplasia
237517001,Congenital atrophy of thyroid
237518006,"Hypothyroid goiter, acquired"
237519003,Autoimmune hypothyroidism
237520009,Hypothyroidism due to Hashimoto's thyroiditis
237521008,Hypothyroidism due to thyroid stimulating hormone receptor blocking antibody
237523006,Compensated hypothyroidism
237525004,Compensated euthyroidism
237526003,Euthyroid with thyroid antibodies
237527007,Postablative hypothyroidism
237528002,Post-infectious hypothyroidism
237554005,Familial dyshormonogenetic goiter
237555006,Hypothyroidism due to iodide trapping defect
237556007,Hypothyroidism due to iodide organification defect
237559000,Thyroid hormone resistance syndrome
237560005,Generalized thyroid hormone resistance
237562002,Iodine deficiency syndrome
237565000,Congenital iodine deficiency syndrome of mixed type
237566004,Congenital iodine deficiency syndrome of neurological type
237567008,Subclinical iodine deficiency hypothyroidism
237695004,Idiopathic thyroid stimulating hormone deficiency
26692000,Central hypothyroidism
27059002,Postoperative hypothyroidism
276566003,Transient neonatal hypothyroidism
276630006,Transient hypothyrotropinemia
278503003,Congenital hypothyroidism with diffuse goiter
286910004,Hypothyroidism - congenital and acquired
2917005,Transient hypothyroidism
30229009,Hypothyroidism due to infiltrative disease
360348000,Pituitary thyroid hormone resistance
367631000119105,Hypothyroidism caused by drug
3716002,Goiter
37429009,Hypothalamic hypothyroidism
39444001,Hypothyroidism due to fibrous invasive thyroiditis
40539002,Hypothyroidism following radioiodine therapy
405629002,Infant hypothyroidism
405630007,Infant hypothyroidism to 24 months of age
40930008,Hypothyroidism
42277004,Transient decreased production of T>3<
42785009,Hypothyroidism due to cystinosis
428165003,Hypothyroidism in pregnancy
43153006,Myxedema
43507005,Adult myxedema
440092001,Endemic congenital iodine deficiency syndrome of myxedematous type
4641009,Myxedema heart disease
49830003,Hypothyroidism caused by food stuff
50375007,Thyroid hormone responsiveness defect
52724003,Iodide oxidation defect
54823002,Subclinical hypothyroidism
55838005,Athyrotic hypothyroidism sequence
56041007,Hypothyroidism due to defect in thyroid hormone synthesis
57185003,Primary hypothyroidism
60733007,Hypothyroidism due to amyloidosis
63115005,Hypothyroidism due to scleroderma
63127008,Thyroglobulin synthesis defect
64491003,Myxedematous form of cretinism
698577000,Infant hypothyroidism caused by maternal drug
70225006,Hypothyroidism caused by iodide excess
70348004,Pendred's syndrome
715734006,Congenital absence of half of thyroid
716338001,Muscular pseudohypertrophy and hypothyroidism syndrome
717333002,Congenital hypothyroidism due to transplacental passage of maternal thyroid stimulating hormone binding inhibitory antibody
717334008,Idiopathic congenital hypothyroidism
718183003,Familial thyroid dyshormonogenesis
718193005,Peripheral resistance to thyroid hormone
718194004,Hypothyroidism due to mutation in transcription factor of pituitary development
718690009,Congenital hypothyroidism due to absence of thyroid gland
