code,term
102447009,Postmenopausal osteoporosis
11311601000119109,Osteoporotic fracture of vertebra
11311641000119106,Osteoporotic fracture of sacral vertebra
1162305009,Scoliosis due to osteoporosis of vertebra
1162315003,Lordosis deformity of spine due to osteoporosis of vertebra
1169364005,Low density lipoprotein receptor-related protein 5 related primary osteoporosis
11874341000119106,Osteoporotic fracture of left rib
11874381000119101,Osteoporotic fracture of right rib
1295480004,Osteoporotic fracture due to idiopathic osteoporosis
1295481000,Osteoporosis due to endocrine disorder
1295482007,Osteoporosis due to chronic kidney disease
1295483002,Osteoporotic fracture due to postmenopausal osteoporosis
1295484008,Osteoporotic fracture due to disuse osteoporosis
14651005,Drug-induced osteoporosis
18040001,Senile osteoporosis
203429007,Idiopathic generalized osteoporosis
203433000,Postoophorectomy osteoporosis
203434006,Post-surgical malabsorption osteoporosis
203437004,Osteoporosis in endocrine disorders
203438009,Vertebral osteoporosis
203444008,Osteoporotic fracture due to postoophorectomy osteoporosis
203445009,Osteoporosis of disuse with pathological fracture
203447001,Osteoporotic fracture due to drug-induced osteoporosis
203448006,Idiopathic osteoporosis with pathological fracture
203450003,Osteoporotic fracture of lumbar vertebra
203451004,Osteoporotic fracture of thoracic vertebra
203452006,Osteoporotic fracture of cervical vertebra
203453001,Postmenopausal osteoporosis with pathological fracture
203657009,Osteoporotic kyphosis
240154002,Idiopathic osteoporosis in pregnancy
240155001,Adult idiopathic generalized osteoporosis
240157009,Secondary generalized osteoporosis
240198002,Osteoporotic vertebral collapse
268028001,Localized disuse osteoporosis
276661002,Primary osteoporosis
309745002,Osteoporosis localized to spine
311806008,Osteoporotic collapse of cervical vertebra
311890007,Osteoporotic collapse of lumbar vertebra
311891006,Osteoporotic collapse of thoracic vertebra
32369003,Menopausal osteoporosis
3345002,Idiopathic osteoporosis
390833005,Osteoporosis caused by corticosteroid
425371000000103,[X]Unspecified osteoporosis with pathological fracture
53174001,Disuse osteoporosis
64859006,Osteoporosis
707419009,Osteoporosis due to cystic fibrosis
735617003,Premenopausal idiopathic osteoporosis
735618008,Osteoporosis due to malabsorption
782785002,X-linked osteoporosis with fractures
783620009,Dominant hypophosphatemia with nephrolithiasis and/or osteoporosis
